State,Value
           1,-0.6037169570811473
          1 ,-0.6037169570811471
          11,-0.03151247048623046
         1  ,-0.6003125627626902
         1 1,-0.03151247048623053
         11 ,-0.03151247048623055
         111,-0.6302494097246091
        1   ,-0.6037169570811471
        1  1,-0.031512470486230515
        1 1 ,-0.03151247048623046
        1 11,-0.6651662745292967
        11  ,-0.03151247048623052
        11 1,-0.7881099159355466
        111 ,-0.6302494097246091
        1111,-0.9441915523046874
       1    ,-0.004980017842768499
       1   1,-0.03151247048623043
       1  1 ,-0.03151247048623043
       1  11,-0.7038553214042966
       1 1  ,-0.031512470486230404
       1 1 1,-0.6689384565996093
       1 11 ,-0.6651662745292967
       1 111,-0.034916864804687586
       11   ,0.0
       11  1,-0.7038553214042966
       11 1 ,-1.498369815193359
       11 11,0.7409003383203123
       111  ,-0.7038553214042966
       111 1,0.0
       1111 ,-0.16397466167968758
       11111,-0.8681204054687497
      1     ,-0.6352294275673777
      1    1,0.6319079608028318
      1   1 ,-0.031512470486230515
      1   11,-0.7038553214042966
      1  1  ,-0.03151247048623055
      1  1 1,-0.95
      1  11 ,0.03317102156445321
      1  111,-0.95
      1 1   ,0.0
      1 1  1,-0.95
      1 1 1 ,-0.8573749999999999
      1 1 11,-0.034916864804687586
      1 11  ,-0.9048749999999999
      1 11 1,1.609806275820312
      1 111 ,-0.95
      1 1111,-1.7298950929687498
      11    ,0.0
      11   1,-0.6651662745292967
      11  1 ,-0.7406099159355465
      11  11,-0.034916864804687475
      11 1  ,-0.7038553214042966
      11 1 1,0.6247313844140621
      11 11 ,-0.07360591167968758
      11 111,-0.7887060460937498
      111   ,-0.6651662745292967
      111  1,0.0
      111 1 ,0.0
      111 11,-1.6076119835937497
      1111  ,0.8145062499999999
      1111 1,-1.5944013429687498
      11111 ,-0.8206204054687498
      111111,0.9184422031249999
     1      ,-0.6352294275673777
     1     1,-0.03151247048623049
     1    1 ,-0.031512470486230515
     1    11,-0.7080350245292966
     1   1  ,-0.03151247048623053
     1   1 1,0.033171021564453146
     1   11 ,0.03317102156445321
     1   111,-0.034916864804687586
     1  1   ,-0.03151247048623055
     1  1  1,-0.7038553214042966
     1  1 1 ,-1.6087303214042967
     1  1 11,-0.034916864804687586
     1  11  ,-0.6651662745292967
     1  11 1,-0.95
     1  111 ,-0.9048749999999999
     1  1111,-0.95
     1 1    ,0.0052421240450194724
     1 1   1,-0.7080350245292966
     1 1  1 ,-0.95
     1 1  11,0.7409003383203123
     1 1 1  ,-0.7038553214042966
     1 1 1 1,-0.03491686480468759
     1 1 11 ,-0.95
     1 1 111,-0.8273950929687499
     1 11   ,-1.5700412745292966
     1 11  1,0.0
     1 11 1 ,1.9024999999999999
     1 11 11,-1.3769932335937498
     1 111  ,-0.95
     1 111 1,-0.8681204054687498
     1 1111 ,-1.6419013429687492
     1 11111,0.8709422031249999
     11     ,0.0
     11    1,-0.7038553214042966
     11   1 ,-0.8573749999999999
     11   11,-0.034916864804687524
     11  1  ,-1.367275752693359
     11  1 1,-0.29269372417968775
     11  11 ,-0.07360591167968758
     11  111,-0.7370263429687498
     11 1   ,-0.7038553214042966
     11 1  1,-0.12528561480468758
     11 1 1 ,0.7001750258203123
     11 1 11,-0.95
     11 11  ,-0.29269372417968775
     11 11 1,-1.3769932335937498
     11 111 ,-0.6983372960937497
     11 1111,-0.2577768593750003
     111    ,-0.7038553214042967
     111   1,0.0
     111  1 ,0.0
     111  11,-1.6419013429687495
     111 1  ,-0.034916864804687475
     111 1 1,-0.7798950929687498
     111 11 ,-0.7798950929687498
     111 111,-0.16978310937500013
     1111   ,0.0
     1111  1,-0.006114155468750024
     1111 1 ,-1.4649869835937497
     1111 11,1.6447231406249996
     11111  ,-1.4721182335937495
     11111 1,0.0
     111111 ,-0.04750000000000004
     1111111,-0.7666496874999997
    1       ,-0.6037169570811473
    1      1,-0.031512470486230404
    1     1 ,-0.03151247048623043
    1     11,0.0331710215644531
    1    1  ,-0.03151247048623052
    1    1 1,-0.7038553214042966
    1    11 ,-0.6651662745292967
    1    111,-0.034916864804687586
    1   1   ,-0.03151247048623043
    1   1  1,-0.6689384565996093
    1   1 1 ,-0.7038553214042966
    1   1 11,-0.03491686480468755
    1   11  ,-0.7038553214042966
    1   11 1,0.7041457437890624
    1   111 ,-0.03491686480468759
    1   1111,-0.7798950929687498
    1  1    ,-0.031512470486230404
    1  1   1,-0.6651662745292967
    1  1  1 ,-0.6651662745292967
    1  1  11,-0.03491686480468756
    1  1 1  ,-0.6651662745292967
    1  1 1 1,-0.034916864804687475
    1  1 11 ,-0.034916864804687524
    1  1 111,-0.6983372960937497
    1  11   ,-0.7038553214042966
    1  11  1,0.0
    1  11 1 ,0.7001750258203123
    1  11 11,-0.8725200929687499
    1  111  ,-0.034916864804687475
    1  111 1,-1.72989509296875
    1  1111 ,-0.7370263429687498
    1  11111,-0.95
    1 1     ,0.0
    1 1    1,-0.7406099159355465
    1 1   1 ,-0.7038553214042966
    1 1   11,-0.034916864804687586
    1 1  1  ,-0.6689384565996092
    1 1  1 1,0.0
    1 1  11 ,-0.04286875000000004
    1 1  111,-0.7370263429687498
    1 1 1   ,-0.6651662745292967
    1 1 1  1,-0.95
    1 1 1 1 ,0.0
    1 1 1 11,-0.7370263429687498
    1 1 11  ,-0.20072925621093765
    1 1 11 1,-2.422118233593749
    1 1 111 ,-0.7798950929687498
    1 1 1111,-0.08618904687500004
    1 11    ,-0.6651662745292967
    1 11   1,-0.034916864804687524
    1 11  1 ,-0.034916864804687586
    1 11  11,-0.8206204054687498
    1 11 1  ,0.0
    1 11 1 1,-0.91324540546875
    1 11 11 ,-0.6576119835937496
    1 11 111,-0.12905779687500007
    1 111   ,0.7001750258203123
    1 111  1,-0.7798950929687499
    1 111 1 ,-0.8273950929687499
    1 111 11,0.0
    1 1111  ,-0.8681204054687498
    1 1111 1,2.5947231406249998
    1 11111 ,-0.2577768593750003
    1 111111,-0.8641496874999999
    11      ,-0.031512470486230404
    11     1,-0.7038553214042966
    11    1 ,-0.6954849159355465
    11    11,-0.0349168648046876
    11   1  ,-0.6651662745292967
    11   1 1,-0.034916864804687586
    11   11 ,-0.034916864804687565
    11   111,-0.8206204054687497
    11  1   ,-0.6689384565996093
    11  1  1,-0.034916864804687524
    11  1 1 ,0.7795893851953122
    11  1 11,-0.8725200929687499
    11  11  ,-0.07360591167968758
    11  11 1,-1.72989509296875
    11  111 ,-0.8273950929687499
    11  1111,-0.03868904687500008
    11 1    ,-0.005518025310546813
    11 1   1,-0.07360591167968755
    11 1  1 ,-0.034916864804687496
    11 1  11,-0.9132454054687499
    11 1 1  ,0.005808447695312413
    11 1 1 1,-0.8206204054687498
    11 1 11 ,-0.8725200929687499
    11 1 111,-0.95
    11 11   ,0.0
    11 11  1,-0.8725200929687499
    11 11 1 ,-1.4721182335937495
    11 11 11,0.877716890625
    11 111  ,-0.8725200929687499
    11 111 1,-0.95
    11 1111 ,0.9184422031249999
    11 11111,-1.7237809375
    111     ,-0.8573749999999999
    111    1,0.7409003383203123
    111   1 ,0.0
    111   11,-0.8206204054687497
    111  1  ,0.0
    111  1 1,-1.5624869835937496
    111  11 ,-1.4721182335937495
    111  111,-0.08155779687500009
    111 1   ,0.0
    111 1  1,-1.7706204054687498
    111 1 1 ,-1.72989509296875
    111 1 11,-0.08155779687500009
    111 11  ,-1.72989509296875
    111 11 1,-0.031557796875000044
    111 111 ,-0.08155779687500009
    111 1111,-1.7666496874999997
    1111    ,0.0
    1111   1,-0.8573749999999999
    1111  1 ,-0.8681204054687499
    1111  11,-0.1290577968750001
    1111 1  ,-0.8206204054687497
    1111 1 1,0.006435953124999894
    1111 11 ,-0.8960640468750001
    1111 111,-1.6786559374999996
    11111   ,-0.7798950929687498
    11111  1,-0.08618904687500004
    11111 1 ,0.7758172031249998
    11111 11,-1.6786559374999996
    111111  ,-0.08618904687500015
    111111 1,-1.6786559374999996
    1111111 ,-0.006774687499999987
    11111111,1.7670062499999997
   1        ,-0.6276751366318307
   1       1,-0.03151247048623046
   1      1 ,-0.03151247048623055
   1      11,-0.6651662745292967
   1     1  ,-0.03151247048623052
   1     1 1,0.03317102156445312
   1     11 ,0.03317102156445319
   1     111,-0.03868904687500003
   1    1   ,0.563820074433691
   1    1  1,-0.7038553214042966
   1    1 1 ,-0.5934948151933589
   1    1 11,0.0
   1    11  ,-0.7038553214042966
   1    11 1,-0.95
   1    111 ,-0.07360591167968757
   1    1111,0.04512500000000004
   1   1    ,0.0
   1   1   1,-0.6651662745292967
   1   1  1 ,-0.6651662745292967
   1   1  11,-0.034916864804687565
   1   1 1  ,-0.6651662745292967
   1   1 1 1,-0.034916864804687524
   1   1 11 ,-0.07360591167968755
   1   1 111,-0.7370263429687498
   1   11   ,-0.7038553214042966
   1   11  1,0.7001750258203123
   1   11 1 ,0.6247313844140621
   1   11 11,-1.72989509296875
   1   111  ,-0.034916864804687496
   1   111 1,-0.7798950929687498
   1   1111 ,-1.4721182335937495
   1   11111,-0.1290577968750001
   1  1     ,0.0
   1  1    1,-0.7038553214042966
   1  1   1 ,-0.6651662745292967
   1  1   11,-0.034916864804687496
   1  1  1  ,-0.7038553214042966
   1  1  1 1,-0.95
   1  1  11 ,-0.04286875000000004
   1  1  111,0.03675459453125
   1  1 1   ,-0.7038553214042966
   1  1 1  1,-0.04750000000000004
   1  1 1 1 ,0.0
   1  1 1 11,0.07747990703125009
   1  1 11  ,-0.12528561480468758
   1  1 11 1,-0.95611415546875
   1  1 111 ,-0.7798950929687498
   1  1 1111,-0.95
   1  11    ,-0.6651662745292967
   1  11   1,0.0
   1  11  1 ,0.0
   1  11  11,-0.8206204054687497
   1  11 1  ,-0.07360591167968755
   1  11 1 1,-0.7798950929687498
   1  11 11 ,-0.7798950929687498
   1  11 111,-0.1290577968750001
   1  111   ,0.0
   1  111  1,-0.7370263429687498
   1  111 1 ,-1.6076119835937497
   1  111 11,-0.1290577968750001
   1  1111  ,-1.5624869835937496
   1  1111 1,-0.08155779687500009
   1  11111 ,-0.12905779687500007
   1  111111,-0.7666496874999997
   1 1      ,0.0
   1 1     1,-0.7038553214042966
   1 1    1 ,-0.7406099159355465
   1 1    11,-0.034916864804687586
   1 1   1  ,-0.8628930253105466
   1 1   1 1,-0.034916864804687586
   1 1   11 ,-0.07360591167968758
   1 1   111,-1.4721182335937493
   1 1  1   ,-0.7038553214042966
   1 1  1  1,0.7409003383203123
   1 1  1 1 ,0.0
   1 1  1 11,-0.7798950929687498
   1 1  11  ,-0.034916864804687586
   1 1  11 1,-0.7798950929687498
   1 1  111 ,-0.6576119835937496
   1 1  1111,-0.12905779687500007
   1 1 1    ,-0.7038553214042966
   1 1 1   1,0.0
   1 1 1  1 ,0.0
   1 1 1  11,-1.5944013429687498
   1 1 1 1  ,-0.07360591167968755
   1 1 1 1 1,-0.7370263429687498
   1 1 1 11 ,-0.7412060460937498
   1 1 1 111,0.7350918906249998
   1 1 11   ,0.0
   1 1 11  1,-0.8573749999999999
   1 1 11 1 ,-0.95
   1 1 11 11,-0.03868904687500008
   1 1 111  ,-0.7798950929687498
   1 1 111 1,1.5495981406249995
   1 1 1111 ,-0.95
   1 1 11111,-1.6786559374999996
   1 11     ,-0.7737809374999999
   1 11    1,0.7795893851953122
   1 11   1 ,0.7409003383203123
   1 11   11,-0.8206204054687497
   1 11  1  ,0.7409003383203123
   1 11  1 1,-1.5944013429687498
   1 11  11 ,-1.5149869835937495
   1 11  111,-1.031557796875
   1 11 1   ,0.0
   1 11 1  1,-0.8573749999999999
   1 11 1 1 ,-1.8073749999999997
   1 11 1 11,-1.031557796875
   1 11 11  ,-1.5944013429687498
   1 11 11 1,-0.1290577968750001
   1 11 111 ,-1.0315577968750003
   1 11 1111,1.0858503125
   1 111    ,0.0
   1 111   1,-1.5944013429687498
   1 111  1 ,-1.6419013429687495
   1 111  11,-0.03868904687500011
   1 111 1  ,-1.5149869835937495
   1 111 1 1,-0.95
   1 111 11 ,0.8638109531249997
   1 111 111,-1.7666496874999997
   1 1111   ,-1.5624869835937496
   1 1111  1,-0.2577768593750003
   1 1111 1 ,0.820942203125
   1 1111 11,-1.7666496874999997
   1 11111  ,-0.04750000000000004
   1 11111 1,-1.7666496874999997
   1 111111 ,-1.7666496874999997
   1 1111111,0.9096312499999999
   11       ,0.6319079608028318
   11      1,-0.7038553214042966
   11     1 ,-0.7038553214042966
   11     11,-0.07360591167968757
   11    1  ,-0.7038553214042966
   11    1 1,-0.034916864804687524
   11    11 ,-0.07360591167968757
   11    111,-0.7370263429687498
   11   1   ,-0.7038553214042966
   11   1  1,0.7409003383203123
   11   1 1 ,0.0
   11   1 11,-0.7798950929687498
   11   11  ,-0.034916864804687524
   11   11 1,-0.8206204054687497
   11   111 ,-0.0061141554687499326
   11   1111,-0.08155779687500009
   11  1    ,-0.0055180253105467925
   11  1   1,-0.034916864804687475
   11  1  1 ,-0.07360591167968755
   11  1  11,-0.7798950929687498
   11  1 1  ,-0.03491686480468747
   11  1 1 1,-0.6576119835937496
   11  1 11 ,-0.7412060460937497
   11  1 111,-0.08155779687500009
   11  11   ,-0.034916864804687524
   11  11  1,-0.7370263429687498
   11  11 1 ,-1.5624869835937496
   11  11 11,-0.08155779687500009
   11  111  ,0.036754594531250025
   11  111 1,-0.08155779687500009
   11  1111 ,-0.08155779687500009
   11  11111,-0.8166496874999998
   11 1     ,-0.95
   11 1    1,0.0
   11 1   1 ,0.8288940883203123
   11 1   11,-1.6870263429687498
   11 1  1  ,0.7409003383203123
   11 1  1 1,-1.72989509296875
   11 1  11 ,-0.95
   11 1  111,-0.03868904687500008
   11 1 1   ,-0.04169155230468746
   11 1 1  1,-0.95
   11 1 1 1 ,-0.95
   11 1 1 11,0.7758172031249998
   11 1 11  ,-0.8573749999999999
   11 1 11 1,-0.08155779687500007
   11 1 111 ,0.0
   11 1 1111,-1.5811559374999997
   11 11    ,-0.95
   11 11   1,-0.7370263429687498
   11 11  1 ,-0.95
   11 11  11,-0.1741827968750002
   11 11 1  ,-0.95
   11 11 1 1,-0.08155779687500009
   11 11 11 ,-0.12228310937500009
   11 11 111,-2.5811559374999997
   11 111   ,-1.6870263429687498
   11 111  1,0.8209422031249999
   11 111 1 ,0.0
   11 111 11,-1.7666496874999997
   11 1111  ,-0.08155779687500009
   11 1111 1,-1.7666496874999997
   11 11111 ,-1.6786559374999996
   11 111111,-0.09036875000000011
   111      ,-0.7467240714042968
   111     1,0.0
   111    1 ,0.0
   111    11,-0.7798950929687498
   111   1  ,0.0
   111   1 1,-0.7798950929687498
   111   11 ,-0.8206204054687497
   111   111,-0.08155779687500009
   111  1   ,0.6573062758203122
   111  1  1,-0.7370263429687498
   111  1 1 ,-0.7798950929687499
   111  1 11,-0.038689046875000105
   111  11  ,-1.4269932335937496
   111  11 1,-0.08155779687500007
   111  111 ,0.7758172031249998
   111  1111,-1.7666496874999997
   111 1    ,0.005808447695312436
   111 1   1,-0.7798950929687498
   111 1  1 ,-0.8573749999999999
   111 1  11,1.6783172031249998
   111 1 1  ,-0.0061141554687499326
   111 1 1 1,-0.08155779687500007
   111 1 11 ,-0.12905779687500007
   111 1 111,-1.6311559374999995
   111 11   ,-1.6419013429687495
   111 11  1,-0.95
   111 11 1 ,-0.031557796875000044
   111 11 11,-1.7666496874999997
   111 111  ,-0.1741827968750002
   111 111 1,-0.8166496874999998
   111 1111 ,-0.8166496874999998
   111 11111,-0.09036875000000011
   1111     ,0.7453000258203122
   1111    1,-0.95
   1111   1 ,-1.5196182335937494
   1111   11,0.8638109531249998
   1111  1  ,-1.72989509296875
   1111  1 1,0.7283172031249997
   1111  11 ,0.7758172031249998
   1111  111,-1.7666496874999997
   1111 1   ,-0.95
   1111 1  1,-0.2577768593750003
   1111 1 1 ,0.0
   1111 1 11,-1.7666496874999997
   1111 11  ,0.7283172031249997
   1111 11 1,-0.7666496874999997
   1111 111 ,-1.7666496874999997
   1111 1111,-0.09036875000000011
   11111    ,-1.6076119835937497
   11111   1,0.8209422031249999
   11111  1 ,-0.04750000000000004
   11111  11,-2.5811559374999997
   11111 1  ,-0.08155779687500009
   11111 1 1,-1.7666496874999997
   11111 11 ,-1.6786559374999996
   11111 111,-0.04286875000000004
   111111   ,0.0
   111111  1,-0.95
   111111 1 ,-1.7666496874999997
   111111 11,-0.09036875000000011
   1111111  ,-2.5811559374999997
   1111111 1,-0.9928687500000002
   11111111 ,-0.09036875000000011
   111111111,-0.9048749999999999
  1         ,-0.6003125627626902
  1        1,-0.03151247048623043
  1       1 ,-0.03151247048623043
  1       11,-0.5934948151933589
  1      1  ,-0.031512470486230515
  1      1 1,-0.6651662745292967
  1      11 ,-0.6651662745292967
  1      111,-0.034916864804687586
  1     1   ,-0.03151247048623043
  1     1  1,-0.6651662745292967
  1     1 1 ,-0.6302494097246091
  1     1 11,0.0
  1     11  ,-0.6651662745292967
  1     11 1,0.7001750258203123
  1     111 ,-0.034916864804687586
  1     1111,-0.9561141554687498
  1    1    ,-0.03151247048623043
  1    1   1,0.0331710215644531
  1    1  1 ,-0.6651662745292967
  1    1  11,-0.034916864804687496
  1    1 1  ,-0.6651662745292967
  1    1 1 1,-0.034916864804687524
  1    1 11 ,-0.034916864804687586
  1    1 111,-0.7798950929687498
  1    11   ,-0.6651662745292967
  1    11  1,-0.034916864804687524
  1    11 1 ,-0.04750000000000004
  1    11 11,-0.7370263429687498
  1    111  ,-0.03491686480468755
  1    111 1,-1.6870263429687498
  1    1111 ,-0.7370263429687498
  1    11111,0.6922231406249997
  1   1     ,-0.03151247048623043
  1   1    1,-0.7038553214042965
  1   1   1 ,-0.6651662745292967
  1   1   11,-0.03491686480468759
  1   1  1  ,-0.6689384565996093
  1   1  1 1,0.0
  1   1  11 ,-0.034916864804687586
  1   1  111,-1.6419013429687495
  1   1 1   ,-0.6651662745292967
  1   1 1  1,-0.07360591167968755
  1   1 1 1 ,-0.034916864804687586
  1   1 1 11,-1.6076119835937497
  1   1 11  ,-0.03491686480468755
  1   1 11 1,-0.95
  1   1 111 ,-0.91324540546875
  1   1 1111,0.820942203125
  1   11    ,-0.7038553214042966
  1   11   1,-0.034916864804687565
  1   11  1 ,-0.07360591167968755
  1   11  11,0.03675459453125
  1   11 1  ,-0.03491686480468755
  1   11 1 1,-1.6032122960937498
  1   11 11 ,-0.7798950929687498
  1   11 111,0.7758172031249998
  1   111   ,-0.034916864804687586
  1   111  1,-1.6870263429687498
  1   111 1 ,-0.95
  1   111 11,-0.08155779687500009
  1   1111  ,-0.95
  1   1111 1,1.6783172031249998
  1   11111 ,0.8209422031249999
  1   111111,-1.7666496874999997
  1  1      ,-0.03151247048623044
  1  1     1,-0.6651662745292967
  1  1    1 ,-0.7038553214042966
  1  1    11,-0.07360591167968755
  1  1   1  ,-0.6651662745292967
  1  1   1 1,-0.034916864804687586
  1  1   11 ,-0.07360591167968755
  1  1   111,-0.7370263429687498
  1  1  1   ,-0.7038553214042966
  1  1  1  1,0.0
  1  1  1 1 ,-0.9048749999999999
  1  1  1 11,-0.7370263429687498
  1  1  11  ,-0.07360591167968755
  1  1  11 1,-1.72989509296875
